term,estimate,std_error,t_statistic,p_value,conf_low,conf_high,model,initial_price_adjusted,component,sale_year
sale_year::2015:initial_price_100k,0.00311355973309968,0.018323879564074,0.169918150914076,0.865526005645285,-0.033381609297094,0.0396087287632934,did_hedonic_log,1,initial_price_year,2015
sale_year::2016:initial_price_100k,0.0125370656234027,0.0189084854842054,0.663039122507996,0.509311544461792,-0.0251224470053529,0.0501965782521584,did_hedonic_log,1,initial_price_year,2016
sale_year::2017:initial_price_100k,-0.020870553244985,0.0215233255631907,-0.969671400625839,0.335286208017779,-0.0637379712376568,0.0219968647476867,did_hedonic_log,1,initial_price_year,2017
sale_year::2018:initial_price_100k,-0.0616713385028204,0.0199785819200135,-3.08687266942813,0.00282248656963836,-0.101462132892453,-0.0218805441131875,did_hedonic_log,1,initial_price_year,2018
treated_post,0.0319772513612387,0.0802031533152895,0.398703168633928,0.691229935930336,-0.127761172303955,0.191715675026432,did_hedonic_log,1,treatment,
treated_post,0.0743857527888562,0.0884764361480418,0.84074083481834,0.403130529689189,-0.101830341686174,0.250601847263886,did_log,0,treatment,
sale_year::2008:initial_price_100k,-0.0912432140724407,0.0196745425368775,-4.63762823971213,1.43851293162784e-05,-0.130428461550429,-0.0520579665944529,did_log,1,initial_price_year,2008
sale_year::2009:initial_price_100k,-0.0143530604238356,0.0196352266781344,-0.730985216474177,0.467035883917481,-0.0534600035828401,0.0247538827351689,did_log,1,initial_price_year,2009
sale_year::2010:initial_price_100k,-0.0431960695648437,0.0203197858798676,-2.12581322560301,0.0367668426311359,-0.0836664305356204,-0.00272570859406709,did_log,1,initial_price_year,2010
sale_year::2011:initial_price_100k,-0.0441704359607201,0.0213098174641362,-2.07277401765912,0.0415838083365385,-0.0866126157205677,-0.00172825620087247,did_log,1,initial_price_year,2011
sale_year::2014:initial_price_100k,0.0101434538393171,0.0202641765053839,0.500560870885729,0.618126727831329,-0.0302161514634609,0.0505030591420951,did_log,1,initial_price_year,2014
sale_year::2015:initial_price_100k,0.0045960158755777,0.0192390314030129,0.238890190431206,0.811833743869339,-0.0337218360058967,0.0429138677570521,did_log,1,initial_price_year,2015
sale_year::2016:initial_price_100k,0.00562791733713734,0.0195515371518171,0.28785037684949,0.774244774838528,-0.0333123436845868,0.0445681783588615,did_log,1,initial_price_year,2016
sale_year::2017:initial_price_100k,-0.0137665586434884,0.0208236739050502,-0.661101336212804,0.510546519836749,-0.0552404995923491,0.0277073823053724,did_log,1,initial_price_year,2017
sale_year::2018:initial_price_100k,-0.0407384115620728,0.0211857137644399,-1.92291900169311,0.0582367073117058,-0.0829334173824798,0.00145659425833414,did_log,1,initial_price_year,2018
treated_post,0.0547301178306705,0.0857342182490132,0.638369590910692,0.525152131146687,-0.116024376365187,0.225484612026528,did_log,1,treatment,
sale_year::2008:treated,8069.61109180455,17426.6225920384,0.463062251402131,0.644643017271395,-26638.5158033733,42777.7379869823,event_dollars,0,treatment,2008
sale_year::2009:treated,24598.8588562536,18075.1739122984,1.36091962243951,0.177561079452419,-11400.9699394349,60598.6876519421,event_dollars,0,treatment,2009
sale_year::2010:treated,-31917.2939907669,15273.1807750474,-2.08976076829469,0.0399849168887451,-62336.4698025804,-1498.11817895345,event_dollars,0,treatment,2010
sale_year::2011:treated,1704.9603418936,17838.2795544006,0.0955787432691623,0.924106720425426,-33823.0524497904,37232.9731335776,event_dollars,0,treatment,2011
sale_year::2013:treated,19664.2256857037,14715.0979038437,1.33632992550918,0.185428731935941,-9643.43175762138,48971.8831290287,event_dollars,0,treatment,2013
sale_year::2014:treated,45809.214070239,27018.1429265155,1.69549825074328,0.0940743543494621,-8002.08115996675,99620.5093004447,event_dollars,0,treatment,2014
sale_year::2015:treated,60385.5958975559,37553.5359096975,1.60798695608214,0.111984763472165,-14408.7529690959,135179.944764208,event_dollars,0,treatment,2015
