school_id,printed_name,source_roster_name,network
609848,ALDRIDGE,ALDRIDGE,Lake Calumet
609845,"CARVER, G",CARVER ELEMENTARY,Lake Calumet
609943,GOMPERS,GOMPERS,Lake Calumet
610045,LAWRENCE,LAWRENCE,Lake Calumet
609902,METCALFE,METCALFE,Lake Calumet
609932,OWENS,OWENS,Lake Calumet
610139,PULLMAN,PULLMAN G,Lake Calumet
610160,SONGHAI,SONGHAI,Lake Calumet
610224,WEST PULLMAN,WEST PULLMAN,Lake Calumet
610225,WHISTLER,WHISTLER,Lake Calumet
610347,CLAREMONT,CLAREMONT ACADEMY,Midway
609885,DEWEY,DEWEY,Pershing
609947,GRAHAM,GRAHAM,Pershing
609987,HENDRICKS,HENDRICKS,Pershing
610037,LIBBY,LIBBY,Pershing
610062,MCCLELLAN,MCCLELLAN,Pershing
610114,PARKMAN,PARKMAN,Pershing
610172,SHERMAN,SHERMAN,Pershing
610015,JUNGMAN,JUNGMAN,Pilsen-Little Village
610273,PADEREWSKI,PADEREWSKI,Pilsen-Little Village
610013,PILSEN,PILSEN,Pilsen-Little Village
610242,BRENNEMANN,BRENNEMANN,Ravenswood-Ridge
610187,STEWART,STEWART,Ravenswood-Ridge
610189,STOCKTON,STOCKTON,Ravenswood-Ridge
610205,TRUMBULL,TRUMBULL,Ravenswood-Ridge
609917,FERNWOOD,FERNWOOD,Rock Island
610128,GARVEY,GARVEY,Rock Island
610032,GREEN,GREEN,Rock Island
610368,"HUGHES, L",HUGHES L,Rock Island
610028,KOHN,KOHN,Rock Island
610176,SHOOP,SHOOP,Rock Island
610268,ASHE,ASHE,Skyway
610280,BUCKINGHAM,BUCKINGHAM,Skyway
610047,MADISON,MADISON,Skyway
610193,NEW SULLIVAN,NEW SULLIVAN,Skyway
610103,O'KEEFFE,OKEEFFE,Skyway
610116,PARKSIDE,PARKSIDE COMM ACAD,Skyway
610281,POWELL,POWELL,Skyway
610146,REVERE,REVERE,Skyway
610218,WARREN,WARREN,Skyway
610233,YALE,YALE,Skyway
