SCHOOL_NM,SCHOOL_ID,SCHOOL_ADD,FEB2013_CANDIDATE_129,MAR2013_CANDIDATE_54,MAY2013_CLOSED_47,MAY2013_WELCOMING_18,CONSORTIUM_TREAT_47,CONSORTIUM_CONTROL_49,HOUSING_TREAT_30,HOUSING_CONTROL_49,NOTES,WELCOMING_SCHOOL_NM1,WELCOMING_SCHOOL_ID1,WELCOMING_SCHOOL_ADD1_SY1314,WELCOMING_SCHOOL_X_COORDINATE1_SY1314,WELCOMING_SCHOOL_Y_COORDINATE1_SY1314,WELCOMING_SCHOOL_LATITUDE1_SY1314,WELCOMING_SCHOOL_LONGITUDE1_SY1314,WELCOMING_SCHOOL_NM2,WELCOMING_SCHOOL_ID2,WELCOMING_SCHOOL_ADD2_SY1314,WELCOMING_SCHOOL_X_COORDINATE2_SY1314,WELCOMING_SCHOOL_Y_COORDINATE2_SY1314,WELCOMING_SCHOOL_LATITUDE2_SY1314,WELCOMING_SCHOOL_LONGITUDE2_SY1314,WELCOMING_SCHOOL_NM3,WELCOMING_SCHOOL_ID3,WELCOMING_SCHOOL_ADD3_SY1314,WELCOMING_SCHOOL_X_COORDINATE3_SY1314,WELCOMING_SCHOOL_Y_COORDINATE3_SY1314,WELCOMING_SCHOOL_LATITUDE3_SY1314,WELCOMING_SCHOOL_LONGITUDE3_SY1314
BRENTANO,609809,2723 N Fairfield Ave,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
"BROWN, W",609812,54 N Hermitage Ave,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
BUCKINGHAM,610280,9207 S PHILLIPS AVE,1,1,1,0,1,0,1,0,Closed,Montefiore,610075,1310 S Ashland Ave,,,,,,,,,,,,,,,,,,
BURKE,609819,5356 S King Dr,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
CALHOUN NORTH,610243,2833 W Adams St,1,1,1,0,1,0,1,0,Closed,Cather,610251,2908 W Washington Blvd,1156925.053,1900584.719,41.882977,-87.69922315,,,,,,,,,,,,,,
CANTER,610018,4959 S Blackstone Ave,1,1,0,0,0,0,0,0,"Approved for delayed closure; closure effective June 30, 2014",,,,,,,,,,,,,,,,,,,,,
CARTER,609844,5740 S Michigan Ave,1,0,0,0,0,0,0,0,Turnaround / reconstitution,,,,,,,,,,,,,,,,,,,,,
CARVER ELEMENTARY,609845,901 E 133rd Pl,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
CHALMERS,609851,2745 W Roosevelt Rd,1,0,0,0,0,0,0,0,Turnaround / reconstitution,,,,,,,,,,,,,,,,,,,,,
CLAREMONT ACADEMY,610347,2300 W 64th St,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
COOK,609864,8150 S Bishop St,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
CROWN COMM ACAD,609873,2128 S Saint Louis Ave,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
"DAVIS, M",610521,6730 S Paulina St,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
DE PRIEST,610367,139 S Parkside Ave,1,0,0,1,0,0,0,0,Designated welcoming school,,,,,,,,,,,,,,,,,,,,,
DELANO,609881,3937 W Wilcox St,1,1,1,0,1,0,0,0,Closed; designated welcoming school relocated into the building for SY2013-14. Site remained in active school use; exclude from main housing treatment,Melody,610293,3937 W Wilcox St,1150012.228,1899002.166,41.87877166,-87.72464875,,,,,,,,,,,,,,
DETT,610252,2306 W Maypole Ave,1,0,0,1,0,0,0,0,Designated welcoming school,,,,,,,,,,,,,,,,,,,,,
DEWEY,609885,5415 S Union Ave,1,0,0,0,0,0,0,0,Turnaround / reconstitution,,,,,,,,,,,,,,,,,,,,,
DRAKE,609894,2722 S King Dr,1,0,0,1,0,0,0,0,Designated welcoming school; 2013 relocation/co-location: Drake moved from 2722 S King Dr to 2710 S Dearborn (former Williams site); Williams ES/MS closed; Drake co-located with Urban Prep; old Drake site vacated; porentially double-counted in the Consortium report,,,,,,,,,,,,,,,,,,,,,
DUMAS,610266,6650 S Ellis Ave,1,1,1,0,1,0,0,0,Closed; designated welcoming school relocated into the building for SY2013-14. Site remained in active school use; exclude from main housing treatment,Wadsworth,610213,6650 S Ellis Ave,1183997.399,1860905.944,41.77350389,-87.60105531,,,,,,,,,,,,,,
DUPREY,610320,2620 W Hirsch St,1,1,1,0,1,0,1,0,Closed,De Diego,610313,1313 N Claremont Ave,1160540.669,1908752.314,41.90531549,-87.68572005,,,,,,,,,,,,,,
EARLE,609897,6121 S Hermitage Ave,1,0,0,1,0,0,0,0,Designated welcoming school,,,,,,,,,,,,,,,,,,,,,
EMMET,609906,5500 W Madison St,1,1,1,0,1,0,1,0,Closed,DePriest,610367,139 S Parkside Ave,1138681.703,1898643.037,41.87799914,-87.7662615,Ellington,609904,243 N Parkside Ave,1138584.642,1901378.002,41.885506,-87.76655157,,,,,,,
ERICSON,609907,3600 W 5th Ave,1,1,0,0,0,0,0,0,Proposed closure canceled before final vote; school remained open,,,,,,,,,,,,,,,,,,,,,
FERMI,609916,1415 E 70th St,1,1,1,0,1,0,0,0,Closed; South Shore Fine Arts Academy was already operating in the building and continued after closure. Site remained in active school use; exclude from main housing treatment,South Shore,610530,1415 E 70th St,1186924.786,1858826.102,41.76772772,-87.59039017,,,,,,,,,,,,,,
FERNWOOD,609917,10041 S Union Ave,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
FISKE,609919,6145 S Ingleside Ave,1,0,0,1,0,0,0,0,Designated welcoming school,,,,,,,,,,,,,,,,,,,,,
FULLER,609928,4214 S Saint Lawrence Ave,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
GARFIELD PARK,400095,3250 W MONROE ST,1,1,1,0,1,0,0,0,Closed; Michael Faraday Elementary School was already operating in the building and continued after closure. Site remained in active school use; exclude from main housing treatment,Faraday,610055,3250 W Monroe St,,,,,,,,,,,,,,,,,,
GARVEY,610128,10309 S Morgan St,1,1,0,0,0,0,0,0,Proposed closure canceled before final vote; school remained open,,,,,,,,,,,,,,,,,,,,,
GOLDBLATT,610348,4257 W Adams St,1,1,1,0,1,0,1,0,Closed,Hefferan,609985,4409 W Wilcox St,1146965.713,1898931.63,41.87863685,-87.73583687,,,,,,,,,,,,,,
GOMPERS,609943,12302 S State St,1,0,0,1,0,0,0,0,Designated welcoming school,,,,,,,,,,,,,,,,,,,,,
GOODLOW MAGNET,609913,2040 W 62nd St,1,1,1,0,1,0,0,0,Closed; designated welcoming school relocated into the building for SY2013-14. Site remained in active school use; exclude from main housing treatment,Earle,609897,2040 W 62nd St,1163653.744,1863565.274,41.78125258,-87.67555599,,,,,,,,,,,,,,
GRAHAM,609947,4436 S Union Ave,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
GREEN,610032,1150 W 96th St,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
GRESHAM,609955,8524 S Green St,1,0,0,0,0,0,0,0,2013 co-location proposed/approved: Nkrumah was to relocate into Gresham at 8524 S Green St; action rescinded Aug. 2013 and co-location was not implemented.,,,,,,,,,,,,,,,,,,,,,
HENDERSON,609986,5650 S Wolcott Ave,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
HENDRICKS,609987,4316 S Princeton Ave,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
HENSON,610240,1326 S Avers Ave,1,1,1,0,1,0,1,0,Closed,C. Hughes,610005,4247 W 15th St,1148118.259,1892326.805,41.86049033,-87.73177486,,,,,,,,,,,,,,
HERBERT,609989,2131 W Monroe St,1,1,1,0,1,0,0,0,Closed; designated welcoming school relocated into the building for SY2013-14. Site remained in active school use; exclude from main housing treatment,Dett,610252,2131 W Monroe St,1162083.381,1899481.098,41.87984242,-87.68031236,,,,,,,,,,,,,,
HERZL,609991,3711 W Douglas Blvd,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
HINTON,610299,644 W 71st St,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
HOLMES,609997,955 W Garfield Blvd,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
HUGHES C E,610005,4247 W 15th St,1,0,0,1,0,0,0,0,Designated welcoming school,,,,,,,,,,,,,,,,,,,,,
HUGHES L,610368,240 W 104th St,1,0,0,1,0,0,0,0,Designated welcoming school,,,,,,,,,,,,,,,,,,,,,
JACKSON M,610369,917 W 88th St,1,1,0,0,0,0,0,0,Proposed closure canceled before final vote; school remained open,,,,,,,,,,,,,,,,,,,,,
JENNER,610012,1119 N Cleveland Ave,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
JUNGMAN,610015,1746 S Miller St,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
KEY,610020,517 N Parkside Ave,1,1,1,0,1,0,1,0,Closed,Ellington,609904,243 N Parkside Ave,1138584.642,1901378.002,41.885506,-87.76655157,,,,,,,,,,,,,,
KING,610023,740 S Campbell Ave,1,1,1,0,1,0,1,0,Closed,Jensen,610271,3030 W Harrison St,1156127.601,1897250.02,41.87384239,-87.70224149,,,,,,,,,,,,,,
KOHN,610028,10414 S State St,1,1,1,0,1,0,1,0,Closed,Lavizzo,610208,138 W 109th St,1177114.736,1832710.465,41.69628998,-87.62713349,L. Hughes,610368,240 W 104th St,1176345.568,1836013.039,41.70536999,-87.62985093,Cullen,610004,10650 S Eberhart Ave,1181431.47,1834229.814,41.70036107,-87.61128176
KOZMINSKI,610030,936 E 54th St,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE,610031,2714 W Augusta Blvd,1,1,1,0,1,0,1,0,Closed,Chopin,609854,2450 W Rice St,1159698.085,1905621.056,41.89674048,-87.68890154,,,,,,,,,,,,,,
LANGFORD,609869,6010 S Throop St,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
LAWNDALE,610034,3500 W Douglas Blvd,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
LAWRENCE,610045,9928 S Crandon Ave,1,1,1,0,1,0,0,0,Closed; designated welcoming school relocated into the building for SY2013-14. Site remained in active school use; exclude from main housing treatment,Burnham,609821,9928 S Crandon Ave,1193433.052,1839450.176,41.71440176,-87.56716721,,,,,,,,,,,,,,
LEWIS,610036,1431 N Leamington Ave,1,0,0,0,0,0,0,0,Turnaround / reconstitution,,,,,,,,,,,,,,,,,,,,,
LIBBY,610037,5300 S Loomis Blvd,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
LOZANO BILINGUAL,610029,1501 N Greenview Ave,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
MADISON,610047,7433 S Dorchester Ave,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
MANIERRE,610048,1420 N Hudson Ave,1,1,0,0,0,0,0,0,Proposed closure canceled before final vote; school remained open,,,,,,,,,,,,,,,,,,,,,
MARCONI,610241,230 N Kolmar Ave,1,1,1,0,1,0,1,0,Closed,Tilton,610202,223 N Keeler Ave,1148397.097,1900931.417,41.88409703,-87.73052949,,,,,,,,,,,,,,
MASON,610056,4217 W 18th St,1,1,0,0,0,0,0,0,High school program discontinued; elementary school remained open as K-8; potentially counted as a control in the Consortium report,,,,,,,,,,,,,,,,,,,,,
MAY,610058,512 S Lavergne Ave,1,1,1,0,1,0,0,0,Closed; designated welcoming school relocated into the building for SY2013-14. Site remained in active school use; exclude from main housing treatment,Leland,610305,512 S Lavergne Ave,1143308.514,1897064.832,41.87358321,-87.74931216,,,,,,,,,,,,,,
MAYO,610061,249 E 37th St,1,1,1,0,1,0,0,0,Closed; designated welcoming school relocated into the building for SY2013-14. Site remained in active school use; exclude from main housing treatment,Wells,610110,249 E 37th St,1178726.235,1880476.124,41.82732778,-87.61978251,,,,,,,,,,,,,,
MAYS,610290,838 W Marquette Rd,1,0,0,1,0,0,0,0,Designated welcoming school,,,,,,,,,,,,,,,,,,,,,
MCCLELLAN,610062,3527 S Wallace St,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
MCNAIR,610282,4820 W Walton St,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
MELODY,610293,412 S Keeler Ave,1,0,0,1,0,0,0,0,Designated welcoming school,,,,,,,,,,,,,,,,,,,,,
METCALFE,609902,12339 S Normal Ave,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
MOLLISON,610276,4415 S Dr Martin L King Jr Dr,1,0,0,1,0,0,0,0,Designated welcoming school,,,,,,,,,,,,,,,,,,,,,
MONTEFIORE,610075,1310 S ASHLAND AVE,1,0,0,1,0,0,0,0,Designated welcoming school,,,,,,,,,,,,,,,,,,,,,
MORGAN,610072,8407 S Kerfoot Ave,1,1,1,0,1,0,1,0,Closed,Ryder,610153,8716 S Wallace St,1173792.13,1846923.856,41.73536767,-87.63887904,,,,,,,,,,,,,,
NEAR NORTH,610085,739 N ADA ST,1,1,1,0,1,0,1,0,Closed,Montefiore,610075,1310 S Ashland Ave,,,,,,,,,,,,,,,,,,
NEW SULLIVAN,610193,8331 S Mackinaw,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
O'TOOLE,610108,6550 S Seeley Ave,1,0,0,0,0,0,0,0,2013 co-location: O'Toole remained at 6550 S Seeley Ave; Montessori of Englewood relocated into/shared O'Toole facility,,,,,,,,,,,,,,,,,,,,,
OKEEFFE,610103,6940 S Merrill Ave,1,0,0,0,0,0,0,0,Turnaround / reconstitution,,,,,,,,,,,,,,,,,,,,,
OVERTON,610277,221 E 49th St,1,1,1,0,1,0,1,0,Closed,Mollison,610276,4415 S Dr Martin L King Jr Dr,1179638.34,1875750.718,41.81434006,-87.61658079,,,,,,,,,,,,,,
OWENS,609932,12450 S State St,1,1,1,0,1,0,1,0,Closed,Gompers,609943,12302 S State St,1178435.326,1823353.395,41.67058298,-87.62258098,,,,,,,,,,,,,,
PADEREWSKI,610273,2221 S Lawndale Ave,1,1,1,0,1,0,1,0,Closed,Cardenas,610024,2345 S Millard Ave,1152451.967,1887990.693,41.8485071,-87.71598119,Castellanos,609826,2524 S Central Park Ave,1152737.279,1886876.128,41.84544296,-87.71496352,,,,,,,
PARKMAN,610114,245 W 51st St,1,1,1,0,1,0,1,0,Closed,Sherwood,610173,245 W 57th St,1175428.391,1867127.635,41.7907728,-87.6322812,,,,,,,,,,,,,,
PARKSIDE COMM ACAD,610116,6938 S East End Ave,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
PEABODY,610119,1444 W Augusta Blvd,1,1,1,0,1,0,1,0,Closed,Otis,610107,525 N Armour St,1166113.411,1903868.626,41.89179703,-87.66538928,,,,,,,,,,,,,,
PENN,610123,1616 S Avers Ave,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
PERSHING MIDDLE,610395,3200 S Calumet Ave,1,1,1,0,1,0,0,0,Closed; designated welcoming school relocated into the building for SY2013-14. Site remained in active school use; exclude from main housing treatment,Pershing East,610126,3200 S Calumet Ave,1179082.41,1883818.012,41.83649005,-87.61837372,,,,,,,,,,,,,,
PICCOLO,610106,1040 N Keeler Ave,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
PILSEN,610013,1420 W 17th St,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
POPE,610134,1852 S Albany Ave,1,1,1,0,1,0,1,0,Closed,Johnson,610274,1420 S Albany Ave,1155905.302,1892874.443,41.86183983,-87.7031756,,,,,,,,,,,,,,
POWELL,610281,7511 S South Shore Dr,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
PULLMAN G,610139,11311 S Forrestville Ave,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
REAVIS,610143,834 E 50th St,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
REVERE,610146,1010 E 72nd St,1,0,0,0,0,0,0,0,2013 co-location: Revere remained at 1010 E 72nd St; Noble-Gary Comer co-located in Revere facility,,,,,,,,,,,,,,,,,,,,,
ROBINSON,610256,4225 S Lake Park Ave,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
ROSS,610150,6059 S Wabash Ave,1,1,1,0,1,0,1,0,Closed,Dulles,610263,6311 S Calumet Ave,1179581.237,1863162.082,41.779797,-87.61717494,,,,,,,,,,,,,,
RYDER,610153,8716 S Wallace St,1,0,0,1,0,0,0,0,Designated welcoming school,,,,,,,,,,,,,,,,,,,,,
RYERSON,610154,646 N Lawndale Ave,1,1,1,0,1,0,0,0,Closed; designated welcoming school relocated into the building for SY2013-14. Site remained in active school use; exclude from main housing treatment,"Ward, L.",610133,646 N Lawndale Ave,1151558.259,1904275.283,41.89321142,-87.71883334,,,,,,,,,,,,,,
SEXTON A O,610169,6020 S Langley Ave,1,1,1,0,1,0,0,0,Closed; designated welcoming school relocated into the building for SY2013-14. Site remained in active school use; exclude from main housing treatment,Fiske,609919,6020 S Langley Ave,1181884.66,1865139.761,41.78517099,-87.60866927,,,,,,,,,,,,,,
SHERMAN,610172,1000 W 52nd St,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
SHOOP,610176,11140 S Bishop St,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
SMYTH,610180,1059 W 13th St,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
SONGHAI,610160,11725 S Perry Ave,1,1,1,0,1,0,1,0,Closed,Curtis,609900,32 E 115th St,1178641.811,1828771.262,41.68544575,-87.62166148,,,,,,,,,,,,,,
STAGG,610339,7424 S Morgan St,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
STEWART,610187,4525 N Kenmore Ave,1,1,1,0,1,0,1,0,Closed,Brennemann,610242,4251 N Clarendon Ave,1170183.793,1928747.67,41.95997841,-87.64971223,,,,,,,,,,,,,,
STOCKTON,610189,4420 N Beacon St,1,1,1,0,1,0,0,0,Closed; designated welcoming school relocated into the building for SY2013-14. Site remained in active school use; exclude from main housing treatment,Courtenay,610355,4420 N Beacon St,1166321.035,1929570.108,41.9623189,-87.66388983,,,,,,,,,,,,,,
TILL,610065,6543 S Champlain Ave,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
TILTON,610202,223 N Keeler Ave,1,0,0,1,0,0,0,0,Designated welcoming school,,,,,,,,,,,,,,,,,,,,,
TRUMBULL,610205,5200 N Ashland Ave,1,1,1,0,1,0,1,0,Closed,Chappell,609852,2135 W Foster Ave,1161016.902,1934466.545,41.975867,-87.68325438,McPherson,610070,4728 N Wolcott Ave,1162923.519,1931558.605,41.96784758,-87.67632505,McCutcheon,610269,4865 N Sheridan Rd,1168789.535,1932738.462,41.97095968,-87.65472193
VON HUMBOLDT,610210,2620 W Hirsch St,1,1,1,0,1,0,1,0,Closed,De Diego,610313,1313 N Claremont Ave,1160540.669,1908752.314,41.90531549,-87.68572005,,,,,,,,,,,,,,
WADSWORTH,610213,6420 S University Ave,1,0,0,1,0,0,0,0,Designated welcoming school,,,,,,,,,,,,,,,,,,,,,
WARD LAURA,610133,410 N Monticello Ave,1,0,0,1,0,0,0,0,Designated welcoming school,,,,,,,,,,,,,,,,,,,,,
WARREN,610218,9239 S Jeffery Ave,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
WEBSTER,610221,4055 W Arthington St,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
"WELLS, I",610110,244 E Pershing Rd,1,0,0,1,0,0,0,0,Designated welcoming school,,,,,,,,,,,,,,,,,,,,,
WEST PULLMAN,610224,11941 S Parnell Ave,1,1,1,0,1,0,1,0,Closed,Haley,609808,11411 S Eggleston Ave,1175378.714,1829178.573,41.68663682,-87.63359476,,,,,,,,,,,,,,
WHISTLER,610225,11533 S Ada St,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
WILIAMS MIDDLE,610336,2710 S Dearborn St,1,1,1,0,1,0,0,0,Closed; designated welcoming school relocated into the building for SY2013-14. Site remained in active school use; exclude from main housing treatment,Drake,609894,2710 S Dearborn St,1176275.784,1886545.486,41.84403809,-87.62859008,,,,,,,,,,,,,,
WILLIAMS ES,610232,2710 S Dearborn St,1,1,1,0,1,0,0,0,Closed; designated welcoming school relocated into the building for SY2013-14. Site remained in active school use; exclude from main housing treatment,Drake,609894,2710 S Dearborn St,1176275.784,1886545.486,41.84403809,-87.62859008,,,,,,,,,,,,,,
WOODS ACADEMY,610285,6206 S Racine Ave,1,1,1,0,1,0,1,0,Closed,Bass,609791,1140 W 66th St,1169677.933,1861068.943,41.77427377,-87.65354234,,,,,,,,,,,,,,
WOODSON SOUTH,610345,4414 S Evans,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
YALE,610233,7025 S Princeton Ave,1,1,1,0,1,0,1,0,Closed,Harvard,609971,7525 S Harvard,1175413.427,1854942.117,41.75733472,-87.63270008,,,,,,,,,,,,,,
